param preferred_companions :
  1 2 3 4 5 6 7 :=
1 0 0 0 0 1 0 0
2 0 0 0 0 1 0 0
3 1 0 0 0 1 0 0
4 0 1 0 0 1 0 0
5 1 1 1 0 1 0 0
6 0 1 0 0 1 0 0
7 1 1 1 0 1 0 0;


param unpreferred_companions :
  1 2 3 4 5 6 7:=
1 0 0 0 0 0 0 0
2 1 0 0 0 0 0 0
3 0 1 0 0 0 0 0
4 0 0 0 0 0 0 0
5 0 0 0 0 0 0 0
6 0 0 0 0 0 0 0
7 0 0 0 0 0 0 0;


param workhours :=
1 160
2 120
3 40
4 120
5 100
6 120
7 200;

param demand:
  1 2 3  :=
1 2 1 1 
2 1 4 0 
3 1 1 1 
4 1 1 2 
5 2 1 1 
6 1 1 2 
7 1 2 1 
8 1 1 2 
9 2 1 1 
10 1 1 3 
11 0 4 1 
12 1 1 2 
13 2 1 1 
14 1 1 1;

param last_shift :=
1 0
2 0
3 0
4 0
5 0
6 0
7 0;


param vacation :
  1 2 3 4 5 6 7 8 9 10 11 12 13 14 :=
1 0 0 0 0 0 0 0 0 0 0 0 0 1 1
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 0 0 0 1 0 0 0 0 0 0 0 0 0 0
4 0 0 1 0 0 0 0 1 0 0 0 0 0 0 
5 0 0 0 0 0 1 0 0 1 0 0 0 0 0
6 0 0 1 0 0 0 0 1 0 0 0 1 1 0 
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0;





param preferred_shifts := 
[1,*,*]: 	1	2	3 := 
1		0	0	0 
2		1	1	0 
3		0	0	1
4		0	0	0 
5		0	1	0 
6		0	0	0 
7		1	0	0 
8		0	0	0 
9		0	0	0
10		0	0	1 
11		0	1	0 
12		0	0	0 
13		1	0	1 
14		0	0	1 


[2,*,*]:	1	2	3 :=
1		1	0	0 
2		0	0	0 
3		1	0	0
4		0	0	1 
5		0	0	0 
6		0	1	0 
7		0	0	0 
8		0	0	1 
9		0	0	0
10		1	0	0 
11		0	1	0 
12		0	0	1 
13		0	0	0 
14		0	0	0 



[3,*,*]:	1	2	3 :=
1		0	0	1 
2		0	0	0 
3		1	0	0
4		0	1	1 
5		0	0	0 
6		0	1	0 
7		0	0	0 
8		0	0	1 
9		1	0	0
10		0	0	1 
11		0	0	0 
12		0	1	0 
13		0	0	0 
14		0	1	0 


[4,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		1	0	1
4		0	0	0 
5		0	0	0 
6		0	0	1 
7		0	0	0 
8		0	0	0 
9		0	1	0
10		1	0	0 
11		0	0	0 
12		0	0	1 
13		0	0	0 
14		0	1	0 


[5,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		0	0	0
4		0	0	0 
5		0	0	0 
6		0	0	0 
7		0	0	0 
8		0	0	0 
9		0	0	0
10		0	0	0 
11		0	0	0 
12		0	0	0 
13		0	0	0 
14		0	0	0 


[6,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		0	0	0
4		0	0	0 
5		0	0	0 
6		1	0	0 
7		0	0	0 
8		0	0	0 
9		0	0	1
10		0	0	0 
11		0	0	0 
12		0	0	0 
13		0	1	0 
14		0	0	0 

[7,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		0	1	0
4		0	0	0 
5		0	0	0 
6		1	0	0 
7		0	0	1 
8		0	0	0 
9		0	0	0
10		0	0	0 
11		1	0	0 
12		0	0	0 
13		0	0	0 
14		0	0	0 ; 

param unpreferred_shifts := 
[1,*,*]: 	1	2	3 := 
1		0	0	0 
2		0	0	0 
3		0	0	0
4		0	0	1 
5		0	0	0 
6		1	0	0 
7		0	0	0 
8		0	0	0 
9		0	0	0
10		0	1	0 
11		0	0	1 
12		0	0	0 
13		0	0	0 
14		1	0	0 



[2,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		0	0	0
4		0	0	0 
5		0	0	0 
6		0	0	0 
7		0	0	0 
8		0	0	0 
9		0	0	0
10		0	0	0 
11		0	0	0 
12		0	0	0 
13		0	0	0 
14		0	0	0 



[3,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		1	0	0
4		0	0	0 
5		0	0	0 
6		0	0	1 
7		0	0	0 
8		0	0	0 
9		0	0	0
10		0	0	0 
11		0	1	0 
12		0	0	0 
13		0	0	0 
14		0	0	0 


[4,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		0	0	0
4		0	0	0 
5		0	0	1 
6		0	0	0 
7		0	0	0 
8		1	0	0 
9		0	0	0
10		0	0	0 
11		0	0	0 
12		0	0	0 
13		0	0	0 
14		0	0	0 



[5,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		0	0	0
4		0	0	0 
5		0	0	0 
6		0	0	0 
7		0	1	0 
8		0	0	0 
9		0	0	0
10		0	0	0 
11		0	0	0 
12		0	0	0 
13		0	0	0 
14		0	0	0 

[6,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		0	0	0
4		0	0	0 
5		0	0	0 
6		1	1	1 
7		1	1	1
8		0	0	0 
9		0	0	0
10		0	0	0 
11		0	0	0 
12		0	0	0 
13		1	1	1 
14		1	1	1 


[7,*,*]:	1	2	3 :=
1		0	0	0 
2		0	0	0 
3		0	0	0
4		0	0	0 
5		0	0	0 
6		0	0	0 
7		0	0	0 
8		0	0	0 
9		0	0	0
10		0	0	0 
11		0	0	0 
12		0	0	0 
13		0	0	0 
14		0	0	0 ; 
 


